,Dates,Traveler,Member,Party,State / District,Destination,Sponsor,Filing Type
32,"April 17, 2019 - April 19, 2019",Jay Kronzer,Mark Green,R,TN-7,"Boston, MA",Massachusetts Institute of Technology,Original
33,"April 17, 2019 - April 19, 2019",Eric Snelgrove,William M. Thornberry,R,TX-13,"Boston, MA",Massachusetts Institute of Technology,Original
34,"April 18, 2019 - April 19, 2019",Suanne Edmiston,Steve King,R,IA-4,"Boston, MA",Massachusetts Insititute of Technology,Original
35,"April 17, 2019 - April 19, 2019",Lesley Warner,Eliot L. Engel,D,NY-16,"Boston, MA",Massachusetts Institute of Technology,Original
36,"April 13, 2019 - April 19, 2019",Ami Bera,Ami Bera,D,CA-7,"Busan, South Korea",U.S. Association of Former Members of Congress; Korea Society,Original
37,"April 13, 2019 - April 19, 2019",Ami Bera,Ami Bera,D,CA-7,"Seoul, South Korea",U.S. Association of Former Members of Congress; Korea Society,Original
38,"April 13, 2019 - April 19, 2019",Derek Kilmer,Derek Kilmer,D,WA-6,"Busan, South Korea",U.S. Association of Former Members of Congress; Korea Society,Original
39,"April 13, 2019 - April 19, 2019",Derek Kilmer,Derek Kilmer,D,WA-6,"Seoul, South Korea",U.S. Association of Former Members of Congress; Korea Society,Original
40,"April 17, 2019 - April 19, 2019",Kichelle Webster,Alma Adams,D,NC-12,"Durham, NC",Duke University,Original
41,"April 13, 2019 - April 19, 2019",Ryan Thompson,Ron Wright,R,TX-6,"Nairobi, Kenya",World Vision International; Bill and Melinda Gates Foundation,Original
42,"April 17, 2019 - April 19, 2019",Alejandro Cisneros,Anthony Gonzalez,R,OH-16,"Cambridge, MA","Massachusetts Insititute of Technology; ClearPath, Inc.",Original
43,"April 15, 2019 - April 19, 2019",Courtney Kum,Elise Stefanik,R,NY-21,"Beirut, Lebanon",National Democratic Institute; International Republican Institute,Original
44,"April 17, 2019 - April 19, 2019",Timothy Hysom,Alan Lowenthal,D,CA-47,"Boston, MA",Massachusetts Institute of Technology,Amendment
45,"April 12, 2019 - April 18, 2019",David Rardin,Bill Johnson,R,OH-6,"Abu Dhabi, United Arab Emirate","ClearPath, Inc.; Atlantic Council",Original
46,"April 16, 2019 - April 18, 2019",Christine Sur,Jared Huffman,D,CA-2,"Pinedale, WY",Wilderness Society; Nature Conservancy; National Audobon Society,Original
47,"April 16, 2019 - April 18, 2019",Casey MacLean,Raúl M. Grijalva,D,AZ-3,"Pinedale, WY",Wilderness Society; Nature Conservancy; National Audobon Society,Original
48,"April 16, 2019 - April 18, 2019",Kyle Sharp,Steven Horsford,D,NV-4,"Pinedale, WY",Wilderness Society; Nature Conservancy; National Audobon Society,Original
49,"April 12, 2019 - April 18, 2019",Tanya Das,Eddie Bernice Johnson,D,TX-30,"Abu Dhabi, UAE","ClearPath, Inc.; Atlantic Council",Original
0,"April 12, 2019 - April 18, 2019",Rishi Sahgal,Jerry McNerney,D,CA-9,"Abu Dhabi, UAE","ClearPath, Inc.; Atlantic Council",Original
1,"April 13, 2019 - April 17, 2019",Kathryn Grant,Steny H. Hoyer,D,MD-5,"London, United Kingdom",Global Women's Innovation Network,Original
2,"April 13, 2019 - April 17, 2019",Sydney Pettit,David McKinley,R,WV-1,"London, England",Global Women's Innovation Network,Original
3,"April 10, 2019 - April 17, 2019",Vicente Gonzalez,Vicente Gonzalez,D,TX-15,"Amman, Jordan",United Nations Foundation,Original
4,"April 10, 2019 - April 17, 2019",Vicente Gonzalez,Vicente Gonzalez,D,TX-15,"Beirut, Lebanon",United Nations Foundation,Original
5,"April 13, 2019 - April 17, 2019",Wendy Anderson,Val Demings,D,FL-10,"London, England",Global Women's Innovation Network,Original
6,"April 13, 2019 - April 17, 2019",Sarah Moxley,"Rogers, Mike",,MI,"London, United Kingdom",Global Women's Innovation Network,Original
7,"April 10, 2019 - April 17, 2019",Maura Gillespie,Adam Kinzinger,R,IL-16,"Amman, Jordan",United Nations Foundation,Original
8,"April 10, 2019 - April 17, 2019",Maura Gillespie,Adam Kinzinger,R,IL-16,"Beirut, Lebanon",United Nations Foundation,Original
9,"April 13, 2019 - April 17, 2019",Charlyn Stanberry,Yvette D. Clarke,D,NY-9,"London, United Kingdom",Global Women's Innovation Network,Original
10,"April 12, 2019 - April 17, 2019",Jennifer Barblan,Greg Walden,R,OR-2,"London, United Kingdom",Global Women's Innovation Network,Original
11,"April 13, 2019 - April 17, 2019",Mandy Bowers,"Rogers, Mike",,MI,"London, United Kingdom",Global Women's Innovation Network,Original
12,"April 10, 2019 - April 17, 2019",Tom Graves,Tom Graves,R,GA-14,"Amman, Jordan",UN Foundation,Original
13,"April 10, 2019 - April 17, 2019",Tom Graves,Tom Graves,R,GA-14,"Beirut, Lebanon",UN Foundation,Original
14,"April 13, 2019 - April 17, 2019",Jen Daulby,Rodney Davis,R,IL-13,"London, United Kingdom",Global Women's Innovation Network,Original
15,"April 13, 2019 - April 17, 2019",Tiffany Guarascio,Frank Pallone,D,NJ-6,"London, United Kingdom",Global Women's Innovation Network,Original
16,"April 10, 2019 - April 16, 2019",Adam Kinzinger,Adam Kinzinger,R,IL-16,"Amman, Jordan",United Nations Foundation,Original
17,"April 10, 2019 - April 16, 2019",Adam Kinzinger,Adam Kinzinger,R,IL-16,"Beirut, Lebanon",United Nations Foundation,Original
18,"April 10, 2019 - April 16, 2019",Adam Kinzinger,Adam Kinzinger,R,IL-16,"Beiruit, Lebanon",United Nations Foundation,Amendment
19,"April 7, 2019 - April 9, 2019",Chris Crawford,Buddy Carter,R,GA-1,"Las Vegas, NV",National Association of Broadcasters,Original
20,"April 7, 2019 - April 9, 2019",Yardly Pollas,Bobby L. Rush,D,IL-1,"Las Vegas, NV",National Association of Broadcasters,Original
21,"April 7, 2019 - April 9, 2019",Justin Goldberger,A. Donald McEachin,D,VA-4,"Las Vegas, NV",National Association of Broadcasters,Original
22,"April 6, 2019 - April 9, 2019",Evan Viau,Tim Walberg,R,MI-7,"Las Vegas, NV",National Association of Broadcasters,Original
23,"April 7, 2019 - April 9, 2019",Ebrahim Yazdani-Zonoz,John Ratcliffe,R,TX-4,"Las Vegas, NV",National Association of Broadcasters,Original
24,"April 7, 2019 - April 9, 2019",Robbin Bass,John Ratcliffe,R,TX-4,"Las Vegas, NV",National Association of Broadcasters,Original
25,"April 7, 2019 - April 9, 2019",Elliott Guffin,Richard Hudson,R,NC-8,"Las Vegas, NV",National Association of Broadcasters,Original
26,"April 7, 2019 - April 9, 2019",Benjamin Elleson,Billy Long,R,MO-7,"Las Vegas, NV",National Association of Broadcasters,Original
27,"April 7, 2019 - April 9, 2019",Ross Olchyk,Billy Long,R,MO-7,"Las Vegas, NV",National Association of Broadcasters,Original
28,"April 7, 2019 - April 9, 2019",Allen Klump,Jeffrey Duncan,R,SC-3,"Las Vegas, NV",National Association of Broadcasters,Original
29,"April 7, 2019 - April 9, 2019",Morgan Butler,James E. Clyburn,D,SC-6,"Las Vegas, NV",National Association of Broadcasters,Original
30,"April 7, 2019 - April 9, 2019",Natasha Dabrowski,Derek Kilmer,D,WA-6,"Las Vegas, NV",National Association of Broadcasters,Original
31,"April 7, 2019 - April 9, 2019",Edgar Rivas,Tom O'Halleran,D,AZ-1,"Las Vegas, NV",National Association of Broadcasters,Original
32,"April 7, 2019 - April 9, 2019",Sydney Pettit,David McKinley,R,WV-1,"Las Vegas, NV",National Association of Broadcasters,Original
33,"April 7, 2019 - April 9, 2019",Brian Looser,John Shimkus,R,IL-15,"Las Vegas, NV",National Association of Broadcasters,Original
34,"April 6, 2019 - April 9, 2019",Erick Harris,Steven J. Chabot,R,OH-1,"Las Vegas, NV",National Association of Broadcasters,Original
35,"April 7, 2019 - April 9, 2019",Arthur Sidney,Hank Johnson,D,GA-4,"Las Vegas, NV",National Association of Broadcasters,Original
36,"April 7, 2019 - April 9, 2019",Emily Silverberg,Paul Tonko,D,NY-20,"Las Vegas, NV",National Association of Broadcasters,Original
37,"April 7, 2019 - April 9, 2019",Justin Goldberger,A. Donald McEachin,D,VA-4,"Las Vegas, NV",National Association of Broadcasters,Amendment
38,"April 7, 2019 - April 9, 2019",Daniel Lipinski,Daniel Lipinski,D,IL-3,"Irving, TX",American Public Philosophy Institute,Original
39,"April 5, 2019 - April 8, 2019",Diana DeGette,Diana DeGette,D,CO-1,"Warrenton, VA",Alliance for Health Policy; Commonwealth Fund,Original
40,"April 4, 2019 - April 8, 2019","Earl L. ""Buddy"" Carter",Buddy Carter,R,GA-1,"Antwerp, Belgium",Humpty Dumpty Institute; Chamber of Commerce and Industry (VOKA) Antwerp-Waasland,Original
41,"April 4, 2019 - April 8, 2019",Gregorio Kilili Camacho Sablan,Gregorio Kilili Camacho Sablan,D,MP,"Antwerp, Belgium",Humpty Dumpty Institute; Chamber of Commerce and Industry (VOKA) Antwerp-Waasland,Original
42,"April 7, 2019 - April 8, 2019",TJ Cox,TJ Cox,D,CA-21,"Gambier, Ohio",Kenyon College,Original
43,"April 4, 2019 - April 8, 2019",Andy Harris,Andy Harris,R,MD-1,"Antwerp, Belgium",Humpty Dumpty Institute; Chamber of Commerce and Industry (VOKA) Antwerp-Waasland,Original
44,"April 4, 2019 - April 8, 2019",Alan S. Lowenthal,Alan Lowenthal,D,CA-47,"Antwerp, Belgium",Humpty Dumpty Institute; Chamber of Commerce and Industry (VOKA) Antwerp-Waasland,Original
45,"April 4, 2019 - April 8, 2019",Pete Olson,Pete Olson,R,TX-22,"Antwerp, Belgium",Humpty Dumpty Institute; Chamber of Commerce and Industry (VOKA) Antwerp-Waasland,Original
46,"April 4, 2019 - April 8, 2019",Garret Graves,Garret Graves,R,LA-6,"Antwerp, Belgium",Humpty Dumpty Institute; Chamber of Commerce and Industry (VOKA) Antwerp-Waasland,Original
47,"April 4, 2019 - April 8, 2019",Kevin Roig,Garret Graves,R,LA-6,"Antwerp, Belgium",Humpty Dumpty Institute; Chamber of Commerce and Industry (VOKA) Antwerp-Waasland,Original
48,"April 4, 2019 - April 8, 2019",Aumua Amata Radewagen,"Radewagen, Aumua Amata Coleman",,AQ,"Antwerp, Belgium",Humpty Dumpty Institute; Chamber of Commerce and Industry (VOKA) Antwerp-Waasland,Original
49,"April 5, 2019 - April 7, 2019",Timothy Monahan,Rodney Davis,R,IL-13,"Middleburg, VA",Center Forward,Original
0,"April 5, 2019 - April 7, 2019",Erin O'Quinn,Kim Schrier,D,WA-8,"Warrenton, VA",Alliance for Health Policy; Commonwealth Fund,Original
1,"April 5, 2019 - April 7, 2019",Kim Schrier,Kim Schrier,D,WA-8,"Warrenton, VA",Alliance for Health Policy; Commonwealth Fund,Original
2,"April 5, 2019 - April 7, 2019",Brooke Lillard,J. Luis Correa,D,CA-46,"Middleburg, VA",Center Forward,Original
3,"April 5, 2019 - April 7, 2019",Ami Bera,Ami Bera,D,CA-7,"Warrenton, VA",Alliance for Health Policy; Commonwealth Fund,Original
4,"April 5, 2019 - April 7, 2019",Chad Obermiller,Ami Bera,D,CA-7,"Middleburg, VA",Center Forward,Original
5,"April 5, 2019 - April 7, 2019",Michelle Dorothy,Chrissy Houlahan,D,PA-6,"Middleburg, VA",Center Forward,Original
6,"April 5, 2019 - April 7, 2019",Michael C. Burgess,Michael C. Burgess,R,TX-26,"Warrenton, VA",Alliance for Health Policy; Commonwealth Fund,Original
7,"April 5, 2019 - April 7, 2019",Colleen Nguyen,Ami Bera,D,CA-7,"Warrenton, VA",Alliance for Health Policy; Commonwealth Fund,Original
8,"April 5, 2019 - April 7, 2019",Lea Sulkala,Linda T. Sánchez,D,CA-38,"Middleburg, VA",Center Forward,Original
9,"April 5, 2019 - April 7, 2019",Natasha Dabrowski,Derek Kilmer,D,WA-6,"Middleburg, VA",Center Forward,Original
10,"April 5, 2019 - April 7, 2019",Kathryn Grant,Steny H. Hoyer,D,MD-5,"Middleburg, VA",Center Forward,Original
11,"April 5, 2019 - April 7, 2019",Rachel Kelly,Derek Kilmer,D,WA-6,"Middleburg, VA",Center Forward,Original
12,"April 5, 2019 - April 7, 2019",James Leuschen,Steny H. Hoyer,D,MD-5,"Middleburg, VA",Center Forward,Original
13,"April 5, 2019 - April 7, 2019",Erin Doty,Raul Ruiz,D,CA-36,"Middleburg, VA",Center Forward,Original
14,"April 5, 2019 - April 7, 2019",Jenifer Bradley,John Rutherford,R,FL-4,"Middleburg, VA",Center Forward,Amendment
15,"April 5, 2019 - April 7, 2019",Steven D. Smith,French Hill,R,AR-2,"Middleberg, VA",Center Forward,Original
16,"April 5, 2019 - April 7, 2019",Desiree Koetzle,Steny H. Hoyer,D,MD-5,"Middleburg, VA",Center Forward,Original
17,"April 5, 2019 - April 7, 2019",Carmen Maioriello-Gallus,Ann Kirkpatrick,D,AZ-2,"Middleburg, VA",Center Forward,Original
18,"April 5, 2019 - April 7, 2019",Stephen Cote,Patrick T. McHenry,R,NC-10,"Middleburg, VA",Center Forward,Original
19,"April 5, 2019 - April 7, 2019",Sam Morgante,Susie Lee,D,NV-3,"Middleburg, VA",Center Forward,Original
20,"April 5, 2019 - April 7, 2019",Ryan Carney,Bryan Steil,R,WI-1,"Middleburg, VA",Center Forward,Original
21,"April 5, 2019 - April 7, 2019",Jeff Carroll,Frank Pallone,D,NJ-6,"Middleburg, VA",Center Forward,Original
22,"April 5, 2019 - April 7, 2019",Tiffany Guarascio,Frank Pallone,D,NJ-6,"Middleburg, VA",Center Forward,Original
23,"April 5, 2019 - April 7, 2019",Jon Pyatt,Cheri Bustos,D,IL-17,"Middleburg, VA",Center Forward,Original
24,"April 5, 2019 - April 7, 2019",Mitchell Rivard,Dan Kildee,D,MI-5,"Middleburg, VA",Center Forward,Original
25,"April 5, 2019 - April 7, 2019",Juan Hinojosa,Mike Quigley,D,IL-5,"Middleburg, VA",Center Forward,Original
26,"April 5, 2019 - April 7, 2019",John P. Sarbanes,John Sarbanes,D,MD-3,Warrenton. VA,Alliance for Health Policy; Commonwealth Fund,Original
27,"April 5, 2019 - April 7, 2019",John Grom,Derek Kilmer,D,WA-6,"Middleburg, VA",Center Forward,Original
28,"April 5, 2019 - April 7, 2019",Rene Munoz,Xochitl Torres Small,D,NM-2,"Middleburg, VA",Center Forward,Original
29,"April 5, 2019 - April 7, 2019",Emily Crerand,Harley Rouda,D,CA-48,"Middleburg, VA",Center Forward,Original
30,"April 5, 2019 - April 7, 2019",Laurie Saroff,J. Luis Correa,D,CA-46,"Middleburg, VA",Center Forward,Original
31,"April 5, 2019 - April 7, 2019",Jeremy Nordquist,Tom O'Halleran,D,AZ-1,"Middleburg, VA",Center Forward,Original
32,"April 5, 2019 - April 7, 2019",Charles Meachum,Sean Duffy,R,WI-7,"Middleburg, VA",Center Forward,Original
33,"April 5, 2019 - April 7, 2019",Zachary Howell,John Katko,R,NY-24,"Middleburg, VA",Center Forward,Original
34,"April 5, 2019 - April 7, 2019",Bret Manley,Rodney Davis,R,IL-13,"Middleburg, VA",Center Forward,Original
35,"April 5, 2019 - April 7, 2019",Hana Greenberg,Ron Kind,D,WI-3,"Middleburg, VA",Center Forward,Original
36,"April 5, 2019 - April 7, 2019",Shuwanza Goff,Steny H. Hoyer,D,MD-5,"Middleburg, VA",Center Forward,Original
37,"April 5, 2019 - April 7, 2019",Jenifer Bradley,John Rutherford,R,FL-4,"Middleburg, VA",Center Forward,Original
38,"April 6, 2019 - April 6, 2019",Lucy McBath,Lucy McBath,D,GA-6,"Jacksonville, FL",First Coast Leadership,Amendment
39,"April 5, 2019 - April 6, 2019",Lucy McBath,Lucy McBath,D,GA-6,"New York, NY",National Action Network,Amendment
40,"April 5, 2019 - April 6, 2019",Carla McGarvey,Donna Shalala,D,FL-27,"Warrenton, VA",Alliance for Health Policy; Commonwealth Fund,Amendment
41,"April 5, 2019 - April 6, 2019",Donna E. Shalala,Donna Shalala,D,FL-27,"Warrenton, VA",Alliance for Health Policy; Commonwealth Fund,Amendment
42,"April 5, 2019 - April 6, 2019",Carla McGarvey,Donna Shalala,D,FL-27,"Warrenton, VA",Alliance for Health Policy; Commonwealth Fund,Amendment
43,"April 6, 2019 - April 6, 2019",Lucy McBath,Lucy McBath,D,GA-6,"Jacksonville, FL",First Coast Leadership,Original
44,"April 5, 2019 - April 6, 2019",Donna E. Shalala,Donna Shalala,D,FL-27,"Warrenton, VA",Alliance for Health Policy; Commonwealth Fund,Original
45,"April 5, 2019 - April 6, 2019",Carla McGarvey,Donna Shalala,D,FL-27,"Warrenton, VA",Alliance for Health Policy; Commonwealth Fund,Original
46,"April 5, 2019 - April 6, 2019",Lucy McBath,Lucy McBath,D,GA-6,"New York, NY",National Action Network,Original
47,"April 5, 2019 - April 6, 2019",Wm. Lacy Clay,William Lacy Clay,D,MO-1,"New Haven, CT",Yale University,Original
48,"April 4, 2019 - April 5, 2019",Elizabeth Allen,Michael C. Burgess,R,TX-26,"Atlanta, Georgia",United Nations Foundation; Bill and Melinda Gates Foundation,Original
49,"April 4, 2019 - April 5, 2019",Shane Hand,Tom Cole,R,OK-4,"Atlanta, GA",United Nations Foundation; Bill and Melinda Gates Foundation,Original
0,"April 4, 2019 - April 5, 2019",Anna Schartner,Jaime Herrera Beutler,R,WA-3,"Atlanta, GA",United Nations Foundation; Bill and Melinda Gates Foundation,Original
1,"April 4, 2019 - April 5, 2019",Betsey Coulbourn,Lisa Blunt Rochester,D,DE-1,"Atlanta, GA",United Nations Foundation; Bill and Melinda Gates Foundation,Original
2,"April 4, 2019 - April 5, 2019",Mia Keeys,Robin Kelly,D,IL-2,"Atlanta, GA",United Nations Foundation; Bill and Melinda Gates Foundation,Original
3,"April 4, 2019 - April 5, 2019",Katy Crosby,Eliot L. Engel,D,NY-16,"Atlanta, GA",United Nations Foundation; Bill and Melinda Gates Foundation,Original
4,"April 4, 2019 - April 5, 2019",Jared Huffman,Jared Huffman,D,CA-2,"Hot Springs, AR",Bipartisan Policy Center; Square One Foundation,Amendment
5,"April 4, 2019 - April 5, 2019",Alexus Stalcup-Gutierrez,Brian Fitzpatrick,R,PA-1,"Atlanta, GA",United Nations Foundation,Amendment
6,"April 4, 2019 - April 5, 2019",Jared Huffman,Jared Huffman,D,CA-2,"Hot Springs, AR",Bipartisan Policy Center; Square One Foundation,Original
7,"April 4, 2019 - April 5, 2019",Alexus Stalcup-Gutierrez,Brian Fitzpatrick,R,PA-1,"Atlanta, GA",United Nations Foundation; Bill and Melinda Gates Foundation,Original
8,"April 5, 2019 - April 5, 2019",Danny K. Davis,Rodney Davis,R,IL-13,"Detroit, MI",Casey Family Programs; Association of Black Foundation Executives,Original
9,"March 28, 2019 - April 1, 2019",Sharice Davids,Sharice Davids,D,KS-3,"New York, NY",New York University School of Law,Original
10,"March 26, 2019 - April 1, 2019",Gabrielle Gould,Bill Keating,D,MA-9,"Kyiv, Ukraine",National Democratic Institute,Original
11,"March 28, 2019 - March 30, 2019",J. French Hill,French Hill,R,AR-2,"McAllen, TX",Bipartisan Policy Center; Square One Foundation,Original
12,"March 28, 2019 - March 29, 2019",Elissa Slotkin,Elissa Slotkin,D,MI-8,"Los Angeles, CA","Maher Live, Inc. (Real Time with Bill Maher)",Original
13,"March 28, 2019 - March 29, 2019",Chellie Pingree,Chellie Pingree,D,ME-1,"New Haven, CT",Yale University,Original
14,"March 15, 2019 - March 24, 2019",Julia Brownley,Julia Brownley,D,CA-26,"Beijing, China",National Committee on U.S.-China Relations,Original
15,"March 15, 2019 - March 24, 2019",Julia Brownley,Julia Brownley,D,CA-26,"Hangzhou, China",National Committee on U.S.-China Relations,Original
16,"March 15, 2019 - March 24, 2019",Julia Brownley,Julia Brownley,D,CA-26,"Hong Kong, China",National Committee on U.S.-China Relations,Original
17,"March 15, 2019 - March 24, 2019",Bill Flores,Bill Flores,R,TX-17,"Beijing, China",National Committee on U.S.-China Relations,Original
18,"March 15, 2019 - March 24, 2019",Bill Flores,Bill Flores,R,TX-17,"Hangzhou, China",National Committee on U.S.-China Relations,Original
19,"March 15, 2019 - March 24, 2019",Bill Flores,Bill Flores,R,TX-17,"Hong Kong, China",National Committee on U.S.-China Relations,Original
20,"March 15, 2019 - March 24, 2019",Guy Reschenthaler,Guy Reschenthaler,R,PA-14,"Beijing, China",National Committee on U.S.-China Relations,Original
21,"March 15, 2019 - March 24, 2019",Guy Reschenthaler,Guy Reschenthaler,R,PA-14,"Hangzhou, China",National Committee on U.S.-China Relations,Original
22,"March 15, 2019 - March 24, 2019",Guy Reschenthaler,Guy Reschenthaler,R,PA-14,"Hong Kong, China",National Committee on U.S.-China Relations,Original
23,"March 18, 2019 - March 24, 2019",F. James Sensenbrenner,F. James Sensenbrenner,R,WI-5,"Seoul, South Korea",Maureen and Mike Mansfield Foundation,Original
24,"March 18, 2019 - March 24, 2019",F. James Sensenbrenner,F. James Sensenbrenner,R,WI-5,"Tokyo, Japan",Maureen and Mike Mansfield Foundation,Original
25,"March 17, 2019 - March 24, 2019",Mark Takano,Mark Takano,D,CA-41,"Seoul, South Korea",Maureen and Mike Mansfield Foundation,Original
26,"March 17, 2019 - March 24, 2019",Mark Takano,Mark Takano,D,CA-41,"Tokyo, Japan",Maureen and Mike Mansfield Foundation,Original
27,"March 15, 2019 - March 24, 2019",Greg Gianforte,Greg Gianforte,R,MT-1,"Beijing, China",National Committee on U.S.-China Relations,Original
28,"March 15, 2019 - March 24, 2019",Greg Gianforte,Greg Gianforte,R,MT-1,"Hangzhou, China",National Committee on U.S.-China Relations,Original
29,"March 15, 2019 - March 24, 2019",Greg Gianforte,Greg Gianforte,R,MT-1,"Hong Kong, China",National Committee on U.S.-China Relations,Original
30,"March 18, 2019 - March 24, 2019",Judy Chu,Judy Chu,D,CA-27,"Seoul, South Korea",Maureen and Mike Mansfield Foundation,Original
31,"March 18, 2019 - March 24, 2019",Judy Chu,Judy Chu,D,CA-27,"Tokyo, Japan",Maureen and Mike Mansfield Foundation,Original
32,"March 18, 2019 - March 24, 2019",Brenda L. Lawrence,Brenda Lawrence,D,MI-14,"Seoul, South Korea",Maureen and Mike Mansfield Foundation,Original
33,"March 18, 2019 - March 24, 2019",Brenda L. Lawrence,Brenda Lawrence,D,MI-14,"Tokyo, Japan",Maureen and Mike Mansfield Foundation,Original
34,"March 18, 2019 - March 24, 2019",J. French Hill,French Hill,R,AR-2,"Tokyo, Japan",The Mike and Maureen Mansfield Foundation,Original
35,"March 15, 2019 - March 24, 2019",Darin LaHood,Darin M. LaHood,R,IL-18,"Beijing, China",National Committee on U.S.-China Relations,Original
36,"March 15, 2019 - March 24, 2019",Darin LaHood,Darin M. LaHood,R,IL-18,"Hangzhou, China",National Committee on U.S.-China Relations,Original
37,"March 15, 2019 - March 24, 2019",Darin LaHood,Darin M. LaHood,R,IL-18,"Hong Kong, China",National Committee on U.S.-China Relations,Original
38,"March 15, 2019 - March 23, 2019",Rick Larsen,Rick Larsen,D,WA-2,"Beijing, China",National Committee on U.S.-China Relations,Original
39,"March 15, 2019 - March 23, 2019",Rick Larsen,Rick Larsen,D,WA-2,"Hangzhou, China",National Committee on U.S.-China Relations,Original
40,"March 15, 2019 - March 23, 2019",Rick Larsen,Rick Larsen,D,WA-2,"Hong Kong, China",National Committee on U.S.-China Relations,Original
41,"March 17, 2019 - March 23, 2019",Asher Hildebrand,David E. Price,D,NC-4,"Garmisch-Partenkirchen, German",National Democratic Insitiute,Original
42,"March 15, 2019 - March 22, 2019",Doug Lamborn,Doug Lamborn,R,CO-5,"Nairobi, Kenya",International Conservation Caucus Foundation; Band Foundation,Original
43,"March 15, 2019 - March 22, 2019",Jeff Fortenberry,Jeff Fortenberry,R,NE-1,"Nairobi, Kenya",International Conservation Caucus Foundation; Band Foundation,Original
44,"March 18, 2019 - March 20, 2019",Brighton Haslett,Patrick T. McHenry,R,NC-10,"Sunnyvale, CA",Information Technology and Innovation Foundation,Original
45,"March 18, 2019 - March 20, 2019",Michael Richards,Pete Olson,R,TX-22,"Sunnyvale, CA",Information Technology and Innovation Foundation,Amendment
46,"March 18, 2019 - March 20, 2019",Lauren Sarkesian,Donald Beyer,D,VA-8,"Sunnyvale, CA",Information Technology and Innovation Foundation,Original
47,"March 18, 2019 - March 20, 2019",Zachary Stokes,Kurt Schrader,D,OR-5,"Sunnyvale, CA",Information Technology and Innovation Foundation,Original
48,"March 18, 2019 - March 20, 2019",Michael Richards,Pete Olson,R,TX-22,"Sunnyvale, CA",Information Technology and Innovation Foundation,Original
49,"March 18, 2019 - March 20, 2019",Sarah Moxley,"Rogers, Mike",,MI,"Sunnyvale, CA",Information Technology and Innovation Foundation,Original
0,"March 18, 2019 - March 20, 2019",Elliott Phaup,C.A. Dutch Ruppersberger,D,MD-2,"Sunnyvale, CA",Information Technology and Innovation Foundation,Original
1,"March 18, 2019 - March 20, 2019",George McKemey,Greg Gianforte,R,MT-1,"Sunnyvale, CA",Information Technology and Innovation Foundation,Original
2,"March 18, 2019 - March 20, 2019",Dao Nguyen,Stephanie Murphy,D,FL-7,"San Francisco, CA",Information Technology and Innovation Foundation,Original
3,"March 18, 2019 - March 20, 2019",Andres Chovil,Tulsi Gabbard,D,HI-2,"Sunnyvale, CA",Information Technology and Innovation Foundation,Original
4,"March 18, 2019 - March 20, 2019",Dylan Moore,Larry Bucshon,R,IN-8,"Sunnyvale, CA",Information Technology and Innovation Foundation,Original
5,"March 18, 2019 - March 20, 2019",Michael Perez,Susan A. Davis,D,CA-53,"Sunnyvale, CA",Information Technology and Innovation Foundation,Original
6,"March 18, 2019 - March 20, 2019",Virginia Poe,Charlie Crist,D,FL-13,"Sunnyvale, CA",Information Technology and Innovation Foundation,Original
7,"March 18, 2019 - March 20, 2019",Robert Peters,John Ratcliffe,R,TX-4,"Sunnyvale, CA",Information Technology and Innovation Foundation,Original
8,"March 18, 2019 - March 20, 2019",Michele Viterise,Derek Kilmer,D,WA-6,"Sunnyvale, CA",Information Technology and Innovation Foundation,Original
9,"March 15, 2019 - March 19, 2019",C.A. Dutch Ruppersberger,C.A. Dutch Ruppersberger,D,MD-2,"San Diego, CA",Aspen Institute; Henry Luce Foundation; Democracy Fund; Rockefeller Brothers Fund,Original
10,"March 14, 2019 - March 19, 2019",Gus M. Bilirakis,Gus Bilirakis,R,FL-12,"Istanbul, Turkey",Humpty Dumpty Institute; American Global Institute; Mr. Yousif Ahmed Yousif,Original
11,"March 14, 2019 - March 19, 2019",Gus M. Bilirakis,Gus Bilirakis,R,FL-12,"Khartoum, Sudan",Humpty Dumpty Institute; American Global Institute; Mr. Yousif Ahmed Yousif,Original
12,"March 14, 2019 - March 19, 2019",Elizabeth Hittos,Gus Bilirakis,R,FL-12,"Istanbul, Turkey",Humpty Dumpty Institute; American Global Institute; Mr. Yousif Ahmed Yousif,Original
13,"March 14, 2019 - March 19, 2019",Elizabeth Hittos,Gus Bilirakis,R,FL-12,"Khartoum, Sudan",Humpty Dumpty Institute; American Global Institute; Mr. Yousif Ahmed Yousif,Original
14,"March 15, 2019 - March 19, 2019",C.A. Dutch Ruppersberger,C.A. Dutch Ruppersberger,D,MD-2,"San Diego, CA",Aspen Institute; Henry Luce Foundation; Democracy Fund; Rockefeller Brothers Fund,Amendment
15,"March 15, 2019 - March 18, 2019",Jimmy Panetta,Jimmy Panetta,D,CA-20,"San Diego, CA",Aspen Institute; Henry Luce Foundation; Democracy Fund; Rockefeller Brothers Fund,Original
16,"March 15, 2019 - March 18, 2019",Tom Rice,Tom Rice,R,SC-7,"San Jose, CA",Aspen Institute; Henry Luce Foundation; Democracy Fund; Rockefeller Brothers Fund,Original
17,"March 15, 2019 - March 18, 2019",Kathleen M. Rice,Kathleen Rice,D,NY-4,"San Diego, CA",Aspen Institute; Henry Luce Foundation; Democracy Fund; Rockefeller Brothers Fund,Original
